Reaction	Acetate	Fructose	Galactose	Gluconate	Glucose	Glycerol	Pyruvate	Succinate
R_EX_alaala_e	3.429683171725216e-06	3.429683171725216e-06	3.429683171725216e-06	3.429683171725216e-06	3.429683171725216e-06	3.429683171725216e-06	3.429683171725216e-06	3.429683171725216e-06
R_EX_all__D_e	8.617474373397822e-05	8.617474373397822e-05	8.617474373397822e-05	8.617474373397822e-05	8.617474373397822e-05	8.617474373397822e-05	8.617474373397822e-05	8.617474373397822e-05
R_EX_alltn_e	1.674209142472689e-05	1.674209142472689e-05	1.674209142472689e-05	1.674209142472689e-05	1.674209142472689e-05	1.674209142472689e-05	1.674209142472689e-05	1.674209142472689e-05
R_EX_amp_e	1.674209142429016e-05	1.674209142429016e-05	1.674209142429016e-05	1.674209142429016e-05	1.674209142429016e-05	1.674209142429016e-05	1.674209142429016e-05	1.674209142429016e-05
R_EX_anhgm_e	8.617474373322437e-05	8.617474373322437e-05	8.617474373322437e-05	8.617474373322437e-05	8.617474373322437e-05	8.617474373322437e-05	8.617474373322437e-05	8.617474373322437e-05
R_EX_arab__L_e	6.487023816955577e-06	6.487023816955577e-06	6.487023816955577e-06	6.487023816955577e-06	6.487023816955577e-06	6.487023816955577e-06	6.487023816955577e-06	6.487023816955577e-06
R_EX_mal__L_e	8.43342647757969e-06	8.43342647757969e-06	8.43342647757969e-06	8.43342647757969e-06	8.43342647757969e-06	8.43342647757969e-06	8.43342647757969e-06	8.43342647757969e-06
R_EX_malt_e	1.9464026599044e-06	1.9464026599044e-06	1.9464026599044e-06	1.9464026599044e-06	1.9464026599044e-06	1.9464026599044e-06	1.9464026599044e-06	1.9464026599044e-06
R_EX_malthx_e	8.433426476320153e-06	8.433426476320153e-06	8.433426476320153e-06	8.433426476320153e-06	8.433426476320153e-06	8.433426476320153e-06	8.433426476320153e-06	8.433426476320153e-06
R_EX_maltpt_e	3.786327067026654e-08	3.786327067026654e-08	3.786327067026654e-08	3.786327067026654e-08	3.786327067026654e-08	3.786327067026654e-08	3.786327067026654e-08	3.786327067026654e-08
R_EX_malttr_e	3.7862872063084584e-08	3.7862872063084584e-08	3.7862872063084584e-08	3.7862872063084584e-08	3.7862872063084584e-08	3.7862872063084584e-08	3.7862872063084584e-08	3.7862872063084584e-08
R_EX_maltttr_e	1.1295120174350647e-06	1.1295120174350647e-06	1.1295120174350647e-06	1.1295120174350647e-06	1.1295120174350647e-06	1.1295120174350647e-06	1.1295120174350647e-06	1.1295120174350647e-06
