Reaction	Glycerol	Succinate	Acetate	Fructose	Galactose	Gluconate	Glucose	Pyruvate
R_TREtex	1.1030385892583929e-05	1.6790993263113285e-05	1.4663500627759564e-05	1.528041170810457e-05	1.8510735017920887e-05	1.9540413242188918e-05	1.2988262480029268e-05	1.4933405777191322e-05
R_TRPAS2	-4.818602596181037e-06	-3.230943349988389e-05	-1.554529166115752e-05	-1.4393021974637953e-05	-2.8914146528915413e-06	-9.820721945279557e-06	2.373665468723108e-06	-2.1433971735705312e-06
R_TRPS1	-8.276140397655775e-06	-1.409887945271574e-05	-1.1559534468158135e-05	-1.3388287478413014e-05	-1.3573985481938264e-05	-1.549896572801172e-05	-1.1673900729055064e-05	-1.1651466201966846e-05
R_TRPS2	2.8552804924915454e-07	-1.0935304761375696e-05	-6.421501300808776e-06	-5.161328402995113e-06	1.5326523687662146e-05	8.111560785863008e-07	7.277020019418217e-06	1.552726228266319e-05
R_TRPS3	9.096461528136556e-06	2.18475967906506e-05	1.4865041378911529e-05	1.973393180969778e-05	2.433976214756675e-05	1.79685211282256e-05	1.5265377966065788e-05	1.9626068652305417e-05
R_TRPTRS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_THMDt2pp_copy2	-0.0025262475162263	-0.0029182041316328	-0.0019331319178697	-0.0019409463056704	-0.0012571773181812	-0.0031207748565502	-0.00283254541591	-0.0023626718962181
R_THMDtex	1.0942692188348202e-05	1.611279438448049e-05	1.4366127608057833e-05	1.5469608215419595e-05	1.7524042360168857e-05	1.922193838369696e-05	1.4595118384183592e-05	1.4327694495615271e-05
R_TRPt2rpp	1.770414474248222e-06	-9.309140693736055e-06	6.530026386113164e-07	2.152045677361256e-06	-6.963492599232693e-06	2.3558294545344624e-06	4.849841700880347e-06	-7.833898704762143e-06
R_REPHACCOAI	7.020809079545166e-06	5.655500211836225e-06	1.2437672723916793e-05	1.2134213655318118e-05	1.154359169702518e-05	3.7963547878547125e-05	1.0894431425128106e-05	3.635304847235876e-06
R_TRPtex	1.770414474279447e-06	-9.309140693761209e-06	6.530026385107024e-07	2.1520456778140185e-06	-6.963492599383614e-06	2.355829454056546e-06	4.849841700599322e-06	-7.833898704928677e-06
R_TRSARr	-0.0028352998816064	-0.0028081907148914	-0.0023918158436476	-0.0024638903016883	-0.0026558109698237	-0.002736782803758	-0.0029338336625956	-0.0019079473756545
R_TSULabcpp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_TSULtex	-1.1941877162066628e-06	1.858750685292121e-06	2.4325152515672355e-06	-3.696405375008816e-06	-1.8561090750629503e-06	-5.131335057681485e-06	-5.957156958127929e-06	4.402221074756296e-06
R_TTDCAtexi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_TTDCEAtexi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_TTRCYCtex	0.0014724506119429	0.0013756017534235	0.0009749781245544	0.0013080018956603	0.000287671480999	0.0010882963351761	0.0013877439307107	0.0008956285142058
R_THMabcpp	7.784199334620237e-06	1.1919080703913317e-05	1.0695442125861712e-05	1.1594036877452168e-05	1.3606575629535262e-05	1.487215023728613e-05	1.0143215529212823e-05	1.0539578839352012e-05
R_TYMtex	3.805760012201565e-07	-2.803420051447625e-07	-1.9018660755293348e-07	3.0476122797398757e-06	-1.6868084915938608e-06	3.93092198672923e-06	6.227264992206272e-07	-1.9365304040550035e-06
